name,country,latitude,longitude,population,elevation,elevation_feet,elevation_source,elevation_confidence,source,distance_km_to_alps,hospital_confidence_pct,hospital_error,hospital_in_city,hospital_reasoning
Mödling,AT,48.08605,16.28921,20555,223.0,731.6,open_elevation,0.85,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 0.70 km)
Sankt Peter,AT,46.62978,14.34016,20320,438.0,1437.0,open_elevation,0.85,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 2.50 km)
Meylan,FR,45.20978,5.77762,20267,230.0,754.6,opentopo,0.9,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 2.93 km)
Pertuis,FR,43.69415,5.50291,19926,218.0,715.2,open_elevation,0.85,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 0.29 km)
Sankt Martin,AT,46.61667,14.28333,20000,438.0,1437.0,opentopo,0.9,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 2.55 km)
Bad Tölz,AT,47.76111,11.5589,17434,664.0,2178.5,open_elevation,0.85,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 2.37 km)
Albertville,FR,45.67452,6.39061,19113,345.0,1131.9,open_elevation,0.85,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 1.79 km)
Cluses,FR,46.06251,6.57497,19789,476.0,1561.7,opentopo,0.9,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 0.82 km)
Vence,IT,43.72254,7.11183,18668,324.0,1063.0,open_elevation,0.85,geonames,0.0,80,,no,No OSM hospital within 3.0 km of centroid
Cran-Gevrier,FR,45.9,6.1,19354,506.0,1660.1,opentopo,0.9,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 2.04 km)
Kufstein,AT,47.58333,12.16667,9848,488.0,1601.0,open_elevation,0.85,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 1.83 km)
Sondrio,IT,46.16852,9.87134,19208,303.0,994.1,open_elevation,0.85,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 0.81 km)
Digne-les-Bains,FR,44.09252,6.23199,18986,599.0,1965.2,opentopo,0.9,geonames,0.0,80,,no,No OSM hospital within 3.0 km of centroid
Seynod,FR,45.88549,6.08831,18590,540.0,1771.7,open_elevation,0.85,geonames,0.0,80,,no,No OSM hospital within 3.0 km of centroid
Marktoberdorf,AT,47.77964,10.61713,18505,729.0,2391.7,opentopo,0.9,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 0.55 km)
Traunstein,AT,47.86825,12.64335,18422,595.0,1952.1,open_elevation,0.85,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 1.05 km)
Wilten,AT,47.25829,11.38808,18142,589.0,1932.4,opentopo,0.9,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 2.73 km)
Kolbermoor,AT,47.84965,12.06696,17941,460.0,1509.2,open_elevation,0.85,geonames,0.0,80,,no,No OSM hospital within 3.0 km of centroid
Weilheim in Oberbayern,DE,47.8395072,11.1416355,18000,563.0,1847.1,,,osm,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 0.34 km)
Albino,IT,45.76444,9.79904,13263,373.0,1223.8,open_elevation,0.85,geonames,0.0,80,,no,No OSM hospital within 3.0 km of centroid
Domodossola,IT,46.1165,8.29313,17778,280.0,918.6,open_elevation,0.85,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 0.46 km)
Bad Aibling,AT,47.8638,12.01055,17672,483.0,1584.6,opentopo,0.9,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 1.62 km)
Arco,IT,45.91772,10.88672,12072,92.0,301.8,open_elevation,0.85,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 1.28 km)
Bad Reichenhall,AT,47.72947,12.87819,16910,464.0,1522.3,opentopo,0.9,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 0.49 km)
Wolfratshausen,AT,47.91289,11.42166,17191,575.0,1886.5,open_elevation,0.85,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 0.52 km)
Riva del Garda,IT,45.88577,10.84117,17331,78.0,255.9,opentopo,0.9,geonames,0.0,80,,no,No OSM hospital within 3.0 km of centroid
Negrar di Valpolicella,IT,45.5296706,10.9400217,17093,186.0,610.2,open_elevation,0.85,osm,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 0.28 km)
Saint-Égrève,FR,45.2325079,5.681781,16995,215.0,705.4,open_elevation,0.85,osm,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 0.56 km)
Piossasco,IT,44.98802,7.4601,16904,307.0,1007.2,opentopo,0.9,geonames,0.0,80,,no,No OSM hospital within 3.0 km of centroid
Saalfelden am Steinernen Meer,AT,47.42681,12.848,16790,744.0,2440.9,open_elevation,0.85,geonames,0.0,80,,no,No OSM hospital within 3.0 km of centroid
Holzkirchen,AT,47.87663,11.70181,16770,694.0,2276.9,opentopo,0.9,geonames,0.0,80,,no,No OSM hospital within 3.0 km of centroid
Giaveno,IT,45.04435,7.34722,11540,538.0,1765.1,open_elevation,0.85,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 0.76 km)
Sallanches,FR,45.94423,6.63162,16725,541.0,1774.9,open_elevation,0.85,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 0.45 km)
Erba,IT,45.8088,9.22609,16431,283.0,928.5,opentopo,0.9,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 0.86 km)
Hohenems,AT,47.36121,9.68694,16317,436.0,1430.4,open_elevation,0.85,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 0.46 km)
Penzberg,AT,47.75293,11.377,16079,606.0,1988.2,opentopo,0.9,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 0.21 km)
Rumilly,FR,45.86116,5.94513,13077,349.0,1145.0,open_elevation,0.85,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 0.75 km)
Telfs,AT,47.30707,11.06817,15229,637.0,2089.9,open_elevation,0.85,geonames,0.0,80,,no,No OSM hospital within 3.0 km of centroid
Freilassing,AT,47.84085,12.98114,15909,417.0,1368.1,opentopo,0.9,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 0.80 km)
St. Egreve,FR,45.23313,5.68154,15904,215.0,705.4,open_elevation,0.85,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 0.56 km)
Bruckmühl,AT,47.87859,11.91098,15851,508.0,1666.7,opentopo,0.9,geonames,0.0,80,,no,No OSM hospital within 3.0 km of centroid
Brixen,IT,46.71503,11.65598,15868,567.0,1860.2,open_elevation,0.85,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 1.16 km)
Füssen,AT,47.57143,10.70171,15608,799.0,2621.4,open_elevation,0.85,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 0.55 km)
Cossato,IT,45.57032,8.18471,13931,253.0,830.1,opentopo,0.9,geonames,0.0,80,,no,No OSM hospital within 3.0 km of centroid
Laives - Leifers,IT,46.422819,11.3347713,15069,249.0,816.9,open_elevation,0.85,osm,0.0,80,,no,No OSM hospital within 3.0 km of centroid
Perchtoldsdorf,AT,48.11935,16.26607,15047,250.0,820.2,opentopo,0.9,geonames,0.0,80,,no,No OSM hospital within 3.0 km of centroid
Darfo Boario Terme,IT,45.8915,10.18879,14932,220.0,721.8,open_elevation,0.85,geonames,0.0,80,,no,No OSM hospital within 3.0 km of centroid
Omegna,IT,45.88002,8.40665,14868,306.0,1003.9,open_elevation,0.85,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 0.88 km)
Ternitz,AT,47.71565,16.03575,7378,393.0,1289.4,opentopo,0.9,geonames,0.0,80,,no,No OSM hospital within 3.0 km of centroid
Gussago,IT,45.58358,10.15717,14502,158.0,518.4,open_elevation,0.85,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 0.71 km)
Romano d'Ezzelino,IT,45.77902,11.76657,12700,127.0,416.7,opentopo,0.9,geonames,0.0,80,,no,No OSM hospital within 3.0 km of centroid
Immenstadt im Allgäu,DE,47.55996,10.21394,14431,733.0,2404.9,open_elevation,0.85,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 1.14 km)
Hall in Tirol,AT,47.28333,11.51667,13334,583.0,1912.7,opentopo,0.9,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 0.20 km)
Bad Ischl,DE,47.7115299,13.6239333,14088,470.0,1542.0,open_elevation,0.85,osm,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 0.60 km)
Marostica,IT,45.74541,11.66237,9264,97.0,318.2,opentopo,0.9,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 0.93 km)
Borgosesia,IT,45.72045,8.27466,10967,382.0,1253.3,open_elevation,0.85,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 0.20 km)
Wörgl,AT,47.48906,12.06174,13811,508.0,1666.7,open_elevation,0.85,geonames,0.0,80,,no,No OSM hospital within 3.0 km of centroid
Schwaz,AT,47.35169,11.71014,13728,534.0,1752.0,opentopo,0.9,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 0.95 km)
Alzano Lombardo,IT,45.73681,9.72638,12750,322.0,1056.4,open_elevation,0.85,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 0.58 km)
Bruneck - Brunico,IT,46.7963194,11.9355121,13618,842.0,2762.5,opentopo,0.9,osm,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 0.40 km)
Bludenz,AT,47.15476,9.82255,13534,566.0,1857.0,open_elevation,0.85,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 0.56 km)
Piazza,IT,45.58725,10.15526,13507,163.0,534.8,open_elevation,0.85,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 0.30 km)
La Motte-Servolex,FR,45.59702,5.86724,13499,272.0,892.4,opentopo,0.9,geonames,0.0,80,,no,No OSM hospital within 3.0 km of centroid
Hard,AT,47.48306,9.68306,13495,398.0,1305.8,open_elevation,0.85,geonames,0.0,80,,no,No OSM hospital within 3.0 km of centroid
Seyssinet-Pariset,FR,45.17675,5.69387,13473,214.0,702.1,opentopo,0.9,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 1.31 km)
Sarezzo,IT,45.66067,10.1969,13295,276.0,905.5,open_elevation,0.85,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 2.03 km)
Carros,IT,43.79246,7.18745,10883,389.0,1276.2,opentopo,0.9,geonames,0.0,80,,no,No OSM hospital within 3.0 km of centroid
Gmunden,AT,47.91839,13.79933,13191,433.0,1420.6,open_elevation,0.85,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 1.43 km)
Chiampo,IT,45.54746,11.28285,10857,192.0,629.9,open_elevation,0.85,geonames,0.0,80,,no,No OSM hospital within 3.0 km of centroid
Gratwein-Straßengel,AT,47.1231264,15.3304611,13000,388.0,1273.0,opentopo,0.9,osm,0.0,80,,no,No OSM hospital within 3.0 km of centroid
Spittal an der Drau,AT,46.8,13.5,12880,578.0,1896.3,open_elevation,0.85,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 0.71 km)
Concesio,IT,45.60518,10.21697,11262,214.0,702.1,opentopo,0.9,geonames,0.0,80,,no,No OSM hospital within 3.0 km of centroid
