name,country,latitude,longitude,population,elevation,elevation_feet,elevation_source,elevation_confidence,source,distance_km_to_alps,hospital_confidence_pct,hospital_error,hospital_in_city,hospital_reasoning
Induno Olona,IT,45.84571,8.84056,10258,398.0,1305.8,opentopo,0.9,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 1.95 km)
Mandello del Lario,IT,45.92199,9.31974,10255,238.0,780.8,open_elevation,0.85,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 0.48 km)
Voreppe,FR,45.29484,5.63192,10214,224.0,734.9,open_elevation,0.85,geonames,0.0,80,,no,No OSM hospital within 3.0 km of centroid
Mori,IT,45.85187,10.98052,7660,208.0,682.4,opentopo,0.9,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 0.10 km)
Eybens,FR,45.14771,5.75014,10195,246.0,807.1,open_elevation,0.85,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 2.10 km)
Busca,IT,44.51625,7.47662,5588,495.0,1624.0,opentopo,0.9,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 0.25 km)
Zell am See,AT,47.32306,12.79839,7619,762.0,2500.0,open_elevation,0.85,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 2.19 km)
Sedico,IT,46.10563,12.0933,5478,309.0,1013.8,open_elevation,0.85,geonames,0.0,80,,no,No OSM hospital within 3.0 km of centroid
Saint-Julien-en-Genevois,FR,46.14434,6.08256,10108,470.0,1542.0,opentopo,0.9,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 0.45 km)
Lenggries,AT,47.68333,11.56667,9432,678.0,2224.4,open_elevation,0.85,geonames,0.0,80,,no,No OSM hospital within 3.0 km of centroid
Ainring,DE,47.81311,12.94048,10028,437.0,1433.7,opentopo,0.9,geonames,0.0,80,,no,No OSM hospital within 3.0 km of centroid
La Roche-sur-Foron,FR,46.07111,6.3045,10026,557.0,1827.4,open_elevation,0.85,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 1.92 km)
Altusried,DE,47.8041,10.21429,9950,719.0,2358.9,opentopo,0.9,geonames,0.0,80,,no,No OSM hospital within 3.0 km of centroid
Cuorgnè,IT,45.39341,7.65015,8581,401.0,1315.6,open_elevation,0.85,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 0.73 km)
Botticino,IT,45.52972,10.31085,9837,140.0,459.3,open_elevation,0.85,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 2.58 km)
Bruck an der Mur,AT,47.41667,15.28333,9093,570.0,1870.1,opentopo,0.9,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 1.38 km)
Purkersdorf,AT,48.20769,16.17539,9701,246.0,807.1,open_elevation,0.85,geonames,0.0,80,,no,No OSM hospital within 3.0 km of centroid
Oberstdorf,DE,47.40724,10.27939,9572,819.0,2687.0,opentopo,0.9,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 2.70 km)
Stephanskirchen,DE,47.85389,12.1856,9554,477.0,1565.0,open_elevation,0.85,geonames,0.0,80,,no,No OSM hospital within 3.0 km of centroid
Saint-Jean-de-Maurienne,FR,45.27534,6.35293,9536,539.0,1768.4,open_elevation,0.85,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 0.96 km)
Judenburg,AT,47.16667,14.66667,8481,739.0,2424.5,opentopo,0.9,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 0.84 km)
Sankt Johann in Tirol,AT,47.5233,12.4232,9428,658.0,2158.8,open_elevation,0.85,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 0.57 km)
Viktring,AT,46.59194,14.26917,9407,455.0,1492.8,opentopo,0.9,geonames,0.0,80,,no,No OSM hospital within 3.0 km of centroid
Voitsberg,AT,47.04445,15.15313,9403,390.0,1279.5,open_elevation,0.85,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 1.31 km)
Cividale del Friuli,IT,46.09019,13.42861,9290,114.0,374.0,open_elevation,0.85,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 0.79 km)
Lana,IT,46.61209,11.15653,9244,285.0,935.0,opentopo,0.9,geonames,0.0,80,,no,No OSM hospital within 3.0 km of centroid
Gavirate,IT,45.83707,8.72619,9206,244.0,800.5,open_elevation,0.85,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 2.28 km)
Rum,AT,47.28333,11.45,9190,623.0,2044.0,opentopo,0.9,geonames,0.0,80,,no,No OSM hospital within 3.0 km of centroid
Teisendorf,AT,47.84921,12.81919,9019,499.0,1637.1,open_elevation,0.85,geonames,0.0,80,,no,No OSM hospital within 3.0 km of centroid
Berndorf,AT,47.94567,16.10973,9064,312.0,1023.6,open_elevation,0.85,geonames,0.0,80,,no,No OSM hospital within 3.0 km of centroid
Waltenhofen,DE,47.67319,10.30703,9045,710.0,2329.4,opentopo,0.9,geonames,0.0,80,,no,No OSM hospital within 3.0 km of centroid
La Ravoire,FR,45.56266,5.95826,6768,318.0,1043.3,open_elevation,0.85,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 2.17 km)
Crolles,FR,45.27724,5.87837,9026,246.0,807.1,opentopo,0.9,geonames,0.0,80,,no,No OSM hospital within 3.0 km of centroid
Castellamonte,IT,45.38267,7.70886,7215,347.0,1138.5,open_elevation,0.85,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 0.19 km)
Tarcento / Tarcint,IT,46.2156457,13.2221061,8716,226.0,741.5,opentopo,0.9,osm,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 0.21 km)
Costa Volpino,IT,45.82768,10.10076,8705,195.0,639.8,open_elevation,0.85,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 2.22 km)
Sorisole,IT,45.7314,9.63715,8614,298.0,977.7,open_elevation,0.85,geonames,0.0,80,,no,No OSM hospital within 3.0 km of centroid
Kitzbühel,AT,47.44637,12.39215,8272,756.0,2480.3,opentopo,0.9,geonames,0.0,80,,no,No OSM hospital within 3.0 km of centroid
Meythet,FR,45.91836,6.09422,8538,452.0,1482.9,open_elevation,0.85,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 2.44 km)
Trescore Balneario,IT,45.69409,9.84173,8479,269.0,882.5,opentopo,0.9,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 0.26 km)
Wolfurt,AT,47.46667,9.75,8446,419.0,1374.7,open_elevation,0.85,geonames,0.0,80,,no,No OSM hospital within 3.0 km of centroid
Col San Martino,IT,45.9002,12.11575,8425,150.0,492.1,open_elevation,0.85,geonames,0.0,80,,no,No OSM hospital within 3.0 km of centroid
Villacher Vorstadt,AT,46.62368,14.28892,8421,447.0,1466.5,opentopo,0.9,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 1.69 km)
Finkenstein am Faaker See,AT,46.56081,13.87115,8406,567.0,1860.2,open_elevation,0.85,geonames,0.0,80,,no,No OSM hospital within 3.0 km of centroid
Trofaiach,AT,47.42524,15.00681,7728,656.0,2152.2,opentopo,0.9,geonames,0.0,80,,no,No OSM hospital within 3.0 km of centroid
Siegsdorf,AT,47.82278,12.64277,8230,604.0,1981.6,open_elevation,0.85,geonames,0.0,80,,no,No OSM hospital within 3.0 km of centroid
Tirano,IT,46.21482,10.16335,8348,421.0,1381.2,opentopo,0.9,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 0.59 km)
Hausham,AT,47.7466,11.84069,8177,770.0,2526.2,open_elevation,0.85,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 2.56 km)
Aviano,IT,46.07056,12.59472,8225,158.0,518.4,open_elevation,0.85,geonames,0.0,80,,no,No OSM hospital within 3.0 km of centroid
Évian-les-Bains,FR,46.40111,6.58793,8207,375.0,1230.3,opentopo,0.9,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 0.29 km)
Villach-Innere Stadt,AT,46.61275,13.84638,8189,503.0,1650.3,open_elevation,0.85,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 0.91 km)
Zirl,AT,47.2741,11.23961,8162,633.0,2076.8,opentopo,0.9,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 1.12 km)
Laveno-Mombello,IT,45.90888,8.62036,8130,200.0,656.2,open_elevation,0.85,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 0.25 km)
Claix,FR,45.11994,5.67292,8127,283.0,928.5,open_elevation,0.85,geonames,0.0,80,,no,No OSM hospital within 3.0 km of centroid
Bourg-Saint-Maurice,IT,45.61463,6.76845,8114,833.0,2732.9,opentopo,0.9,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 0.40 km)
Tolmezzo,IT,46.39996,13.02051,8078,312.0,1023.6,open_elevation,0.85,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 1.29 km)
Piovene Rocchette,IT,45.75601,11.43273,8069,255.0,836.6,opentopo,0.9,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 0.70 km)
Dietmannsried,DE,47.80787,10.28948,8044,678.0,2224.4,open_elevation,0.85,geonames,0.0,80,,no,No OSM hospital within 3.0 km of centroid
Clusone,IT,45.88663,9.94646,8032,601.0,1971.8,opentopo,0.9,geonames,0.0,80,,no,No OSM hospital within 3.0 km of centroid
Mittenwald,AT,47.4422,11.26187,7996,916.0,3005.2,open_elevation,0.85,geonames,0.0,80,,no,No OSM hospital within 3.0 km of centroid
Höchst,AT,47.45934,9.6405,7995,402.0,1318.9,open_elevation,0.85,geonames,0.0,80,,no,No OSM hospital within 3.0 km of centroid
Vizille,FR,45.07819,5.77074,7962,277.0,908.8,opentopo,0.9,geonames,0.0,80,,no,No OSM hospital within 3.0 km of centroid
Levico Terme,IT,46.01217,11.30427,6171,518.0,1699.5,open_elevation,0.85,geonames,0.0,80,,no,No OSM hospital within 3.0 km of centroid
Ponte nelle Alpi,IT,46.18083,12.28333,7913,398.0,1305.8,opentopo,0.9,geonames,0.0,80,,no,No OSM hospital within 3.0 km of centroid
Vigliano Biellese,IT,45.56317,8.10509,7898,322.0,1056.4,open_elevation,0.85,geonames,0.0,80,,no,No OSM hospital within 3.0 km of centroid
Farra di Soligo,IT,45.90528,12.12444,7892,163.0,534.8,open_elevation,0.85,geonames,0.0,80,,no,No OSM hospital within 3.0 km of centroid
Pfronten,DE,47.5822,10.54962,7890,857.0,2811.7,opentopo,0.9,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 0.54 km)
Moirans,FR,45.3314,5.55432,7886,242.0,794.0,open_elevation,0.85,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 1.09 km)
Wattens,AT,47.29419,11.5907,7881,553.0,1814.3,opentopo,0.9,geonames,0.0,80,,no,No OSM hospital within 3.0 km of centroid
Berchtesgaden,AT,47.63236,13.00187,7698,572.0,1876.6,open_elevation,0.85,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 0.30 km)
Landeck,AT,47.13988,10.56593,7725,786.0,2578.7,opentopo,0.9,geonames,0.0,80,,no,No OSM hospital within 3.0 km of centroid
Ugine,FR,45.75571,6.41503,7703,458.0,1502.6,open_elevation,0.85,geonames,0.0,80,,no,No OSM hospital within 3.0 km of centroid
Sisteron,FR,44.19002,5.94643,7605,483.0,1584.6,open_elevation,0.85,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 0.39 km)
Tullins,FR,45.30239,5.49077,7689,204.0,669.3,opentopo,0.9,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 0.17 km)
Arcisate,IT,45.85578,8.86823,7645,381.0,1250.0,open_elevation,0.85,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 0.94 km)
Saint-Marcellin,FR,45.14914,5.31673,7592,283.0,928.5,opentopo,0.9,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 0.64 km)
Maderno,IT,45.6405622,10.6067422,7554,91.0,298.6,open_elevation,0.85,osm,0.0,80,,no,No OSM hospital within 3.0 km of centroid
Bischofswiesen,DE,47.63115,12.98305,7535,623.0,2044.0,open_elevation,0.85,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 1.33 km)
Bovezzo,IT,45.58998,10.24184,7469,189.0,620.1,opentopo,0.9,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 2.92 km)
Peymeinade,FR,43.64244,6.87583,7465,211.0,692.3,open_elevation,0.85,geonames,0.0,80,,no,No OSM hospital within 3.0 km of centroid
Bad Endorf,DE,47.90901,12.29795,7465,524.0,1719.2,opentopo,0.9,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 0.79 km)
Bischofshofen,AT,47.41667,13.21667,7457,553.0,1814.3,open_elevation,0.85,geonames,0.0,80,,no,No OSM hospital within 3.0 km of centroid
Sankt Ruprecht,AT,46.6,14.31667,7442,435.0,1427.2,open_elevation,0.85,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 2.56 km)
Villongo,IT,45.66939,9.93076,7436,223.0,731.6,opentopo,0.9,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 1.84 km)
Seyssins,FR,45.16224,5.68673,7408,284.0,931.8,open_elevation,0.85,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 2.45 km)
Villard-Bonnot,FR,45.2346,5.88323,7400,234.0,767.7,opentopo,0.9,geonames,0.0,80,,no,No OSM hospital within 3.0 km of centroid
Nyons,FR,44.36082,5.14052,7330,277.0,908.8,open_elevation,0.85,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 0.31 km)
Zeltweg,AT,47.1912045,14.7549244,7327,659.0,2162.1,,,osm,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 1.27 km)
Chiavenna,IT,46.32063,9.39816,7239,324.0,1063.0,open_elevation,0.85,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 0.15 km)
Colico,IT,46.13205,9.37714,7204,263.0,862.9,open_elevation,0.85,geonames,0.0,80,,no,No OSM hospital within 3.0 km of centroid
Bad Feilnbach,AT,47.77331,12.00973,7203,517.0,1696.2,opentopo,0.9,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 1.69 km)
Oberstaufen,DE,47.55568,10.02245,7190,789.0,2588.6,open_elevation,0.85,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 2.46 km)
Mattersburg,AT,47.73333,16.4,6577,259.0,849.7,opentopo,0.9,geonames,0.0,80,,no,No OSM hospital within 3.0 km of centroid
La Tronche,FR,45.20507,5.74629,7125,242.0,794.0,open_elevation,0.85,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 1.71 km)
Jenbach,AT,47.39173,11.77245,7120,568.0,1863.5,open_elevation,0.85,geonames,0.0,80,,no,No OSM hospital within 3.0 km of centroid
Absam,AT,47.29572,11.50593,7112,635.0,2083.3,opentopo,0.9,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 1.46 km)
Boves,IT,44.32985,7.54733,7089,587.0,1925.9,open_elevation,0.85,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 0.09 km)
Gravellona Toce,IT,45.92859,8.43209,7077,216.0,708.7,opentopo,0.9,geonames,0.0,80,,no,No OSM hospital within 3.0 km of centroid
Embrun,FR,44.56387,6.49526,7069,868.0,2847.8,open_elevation,0.85,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 0.33 km)
Dronero,IT,44.46476,7.36242,5454,600.0,1968.5,opentopo,0.9,geonames,0.0,80,,no,No OSM hospital within 3.0 km of centroid
Ville-la-Grand,FR,46.203,6.2501,7033,445.0,1460.0,open_elevation,0.85,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 2.48 km)
Toscolano-Maderno,IT,45.63977,10.6076,7025,90.0,295.3,opentopo,0.9,geonames,0.0,80,,no,No OSM hospital within 3.0 km of centroid
Trostberg,DE,48.0277272,12.5530162,7000,501.0,1643.7,open_elevation,0.85,osm,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 0.74 km)
Renon,IT,46.54152,11.45728,6993,1196.0,3923.9,open_elevation,0.85,geonames,0.0,80,,no,No OSM hospital within 3.0 km of centroid
Pontcharra,FR,45.43588,6.01782,6948,267.0,876.0,opentopo,0.9,geonames,0.0,80,,no,No OSM hospital within 3.0 km of centroid
Borgo Valsugana,IT,46.05119,11.45756,6587,395.0,1295.9,open_elevation,0.85,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 0.81 km)
Vif,FR,45.05654,5.67204,6942,308.0,1010.5,opentopo,0.9,geonames,0.0,80,,no,No OSM hospital within 3.0 km of centroid
Kiefersfelden,DE,47.61409,12.19096,6912,484.0,1587.9,open_elevation,0.85,geonames,0.0,80,,no,No OSM hospital within 3.0 km of centroid
Waging am See,AT,47.93414,12.73392,6291,464.0,1522.3,open_elevation,0.85,geonames,0.0,80,,no,No OSM hospital within 3.0 km of centroid
Domène,FR,45.20289,5.83335,6882,228.0,748.0,opentopo,0.9,geonames,0.0,80,,no,No OSM hospital within 3.0 km of centroid
Laufen,DE,47.93568,12.92856,6869,415.0,1361.5,opentopo,0.9,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 1.38 km)
Großkarolinenfeld,DE,47.89102,12.08101,6865,470.0,1542.0,open_elevation,0.85,geonames,0.0,80,,no,No OSM hospital within 3.0 km of centroid
Contes,FR,43.81278,7.31444,6864,277.0,908.8,open_elevation,0.85,geonames,0.0,80,,no,No OSM hospital within 3.0 km of centroid
Mürzzuschlag,AT,47.6066,15.67226,5975,679.0,2227.7,opentopo,0.9,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 0.78 km)
Allières-et-Risset,FR,45.09934,5.67924,6815,262.0,859.6,open_elevation,0.85,geonames,0.0,80,,no,No OSM hospital within 3.0 km of centroid
Gratkorn,AT,47.13333,15.35,6806,381.0,1250.0,opentopo,0.9,geonames,0.0,80,,no,No OSM hospital within 3.0 km of centroid
Liezen,AT,47.56667,14.23333,6587,644.0,2112.9,open_elevation,0.85,geonames,0.0,80,,no,No OSM hospital within 3.0 km of centroid
Cernobbio,IT,45.84307,9.07194,6790,275.0,902.2,opentopo,0.9,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 2.33 km)
Scionzier,FR,46.0601,6.55271,6766,488.0,1601.0,open_elevation,0.85,geonames,0.0,80,,no,No OSM hospital within 3.0 km of centroid
Mezzolombardo,IT,46.20774,11.09636,6754,221.0,725.1,opentopo,0.9,geonames,0.0,80,,no,No OSM hospital within 3.0 km of centroid
Völs,AT,47.25,11.33333,6738,594.0,1948.8,open_elevation,0.85,geonames,0.0,80,,no,No OSM hospital within 3.0 km of centroid
Bad Hofgastein,AT,47.1703104,13.1060635,6726,848.0,2782.2,open_elevation,0.85,osm,0.0,80,,no,No OSM hospital within 3.0 km of centroid
Reutte,AT,47.48333,10.71667,6704,852.0,2795.3,opentopo,0.9,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 1.13 km)
Durach,DE,47.6944,10.34449,6675,715.0,2345.8,open_elevation,0.85,geonames,0.0,80,,no,No OSM hospital within 3.0 km of centroid
Frohnleiten,AT,47.2715315,15.3260206,6655,442.0,1450.1,opentopo,0.9,osm,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 0.18 km)
Bernau am Chiemsee,DE,47.81167,12.37566,6645,538.0,1765.1,open_elevation,0.85,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 2.13 km)
Tuntenhausen,DE,47.93509,12.01518,6642,503.0,1650.3,opentopo,0.9,geonames,0.0,80,,no,No OSM hospital within 3.0 km of centroid
Villadossola,IT,46.0708,8.26709,6633,250.0,820.2,open_elevation,0.85,geonames,0.0,80,,no,No OSM hospital within 3.0 km of centroid
Saint-Ismier,FR,45.25227,5.83073,6630,375.0,1230.3,open_elevation,0.85,geonames,0.0,80,,no,No OSM hospital within 3.0 km of centroid
La Gaude,FR,43.72209,7.15296,6626,260.0,853.0,opentopo,0.9,geonames,0.0,80,,no,No OSM hospital within 3.0 km of centroid
Altach,AT,47.35438,9.65207,6624,412.0,1351.7,open_elevation,0.85,geonames,0.0,80,,no,No OSM hospital within 3.0 km of centroid
Faverges,FR,45.75116,6.29151,6580,516.0,1692.9,opentopo,0.9,geonames,0.0,80,,no,No OSM hospital within 3.0 km of centroid
Cognin,FR,45.55952,5.89113,6577,302.0,990.8,open_elevation,0.85,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 1.64 km)
Pressbaum,AT,48.18333,16.08333,6237,313.0,1026.9,open_elevation,0.85,geonames,0.0,80,,no,No OSM hospital within 3.0 km of centroid
Auen,AT,46.59963,13.84389,6563,488.0,1601.0,opentopo,0.9,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 2.06 km)
Wilhelmsburg,AT,48.10571,15.60539,6557,319.0,1046.6,open_elevation,0.85,geonames,0.0,80,,no,No OSM hospital within 3.0 km of centroid
Schladming,DE,47.3940415,13.6867878,6538,745.0,2444.2,,,osm,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 0.81 km)
Weiler-Simmerberg,DE,47.58261,9.91352,6510,625.0,2050.5,open_elevation,0.85,geonames,0.0,80,,no,No OSM hospital within 3.0 km of centroid
Hafendorf,AT,47.45653,15.31837,6506,528.0,1732.3,opentopo,0.9,geonames,0.0,80,,no,No OSM hospital within 3.0 km of centroid
Tarcento,IT,46.21251,13.21514,6485,225.0,738.2,open_elevation,0.85,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 0.46 km)
Obergünzburg,AT,47.84545,10.41821,6424,739.0,2424.5,open_elevation,0.85,geonames,0.0,80,,no,No OSM hospital within 3.0 km of centroid
Negrar,IT,45.52918,10.93899,6464,181.0,593.8,opentopo,0.9,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 0.23 km)
Ponteranica,IT,45.73248,9.65175,6463,327.0,1072.8,open_elevation,0.85,geonames,0.0,80,,no,No OSM hospital within 3.0 km of centroid
Frastanz,AT,47.21735,9.62995,6434,489.0,1604.3,opentopo,0.9,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 1.99 km)
Ruhpolding,DE,47.76667,12.65,6419,651.0,2135.8,open_elevation,0.85,geonames,0.0,80,,no,No OSM hospital within 3.0 km of centroid
Schliersee,DE,47.73621,11.85936,6416,783.0,2568.9,opentopo,0.9,geonames,0.0,80,,no,No OSM hospital within 3.0 km of centroid
Lavis,IT,46.14131,11.10931,6404,231.0,757.9,open_elevation,0.85,geonames,0.0,80,,no,No OSM hospital within 3.0 km of centroid
Villa di Serio,IT,45.7226,9.73522,6404,280.0,918.6,open_elevation,0.85,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 1.24 km)
Poisy,FR,45.92142,6.06356,6399,513.0,1683.1,opentopo,0.9,geonames,0.0,80,,no,No OSM hospital within 3.0 km of centroid
Schlanders - Silandro,IT,46.6280688,10.7734765,6371,721.0,2365.5,,,osm,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 0.39 km)
Hörbranz,AT,47.55,9.75,6346,414.0,1358.3,opentopo,0.9,geonames,0.0,80,,no,No OSM hospital within 3.0 km of centroid
Grassau,DE,47.78099,12.45359,6323,536.0,1758.5,open_elevation,0.85,geonames,0.0,80,,no,No OSM hospital within 3.0 km of centroid
Gières,FR,45.17997,5.78935,6299,229.0,751.3,open_elevation,0.85,geonames,0.0,80,,no,No OSM hospital within 3.0 km of centroid
Trissino,IT,45.55994,11.37678,6255,118.0,387.1,opentopo,0.9,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 0.61 km)
Vill'Albese,IT,45.79684,9.18859,6242,402.0,1318.9,open_elevation,0.85,geonames,0.0,80,,no,No OSM hospital within 3.0 km of centroid
Caneva,IT,45.97078,12.45261,6224,36.0,118.1,opentopo,0.9,geonames,0.0,80,,no,No OSM hospital within 3.0 km of centroid
Villa d'Almè,IT,45.74843,9.61702,6208,309.0,1013.8,open_elevation,0.85,geonames,0.0,80,,no,No OSM hospital within 3.0 km of centroid
Caldaro sulla Strada del Vino,IT,46.41326,11.24616,6183,428.0,1404.2,open_elevation,0.85,geonames,0.0,80,,no,No OSM hospital within 3.0 km of centroid
Sarnico,IT,45.67099,9.96152,6177,200.0,656.2,opentopo,0.9,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 0.59 km)
Gmund am Tegernsee,DE,47.75119,11.7381,6086,744.0,2440.9,opentopo,0.9,geonames,0.0,80,,no,No OSM hospital within 3.0 km of centroid
Tittmoning,AT,48.06164,12.7676,6084,386.0,1266.4,open_elevation,0.85,geonames,0.0,80,,no,No OSM hospital within 3.0 km of centroid
Rives,FR,45.35326,5.50084,6067,393.0,1289.4,open_elevation,0.85,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 0.11 km)
Gloggnitz,AT,47.6757858,15.9374085,6062,449.0,1473.1,opentopo,0.9,osm,0.0,80,,no,No OSM hospital within 3.0 km of centroid
Thônes,FR,45.88123,6.32572,6032,628.0,2060.4,open_elevation,0.85,geonames,0.0,80,,no,No OSM hospital within 3.0 km of centroid
Pollau,AT,47.3,15.83333,6014,414.0,1358.3,opentopo,0.9,geonames,0.0,80,,no,No OSM hospital within 3.0 km of centroid
Vétraz-Monthoux,FR,46.1743,6.25852,5991,495.0,1624.0,open_elevation,0.85,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 1.07 km)
San Michele,IT,46.45472,11.26178,5967,407.0,1335.3,open_elevation,0.85,geonames,0.0,80,,no,No OSM hospital within 3.0 km of centroid
Albavilla,IT,45.80038,9.18504,5938,423.0,1387.8,opentopo,0.9,geonames,0.0,80,,no,No OSM hospital within 3.0 km of centroid
Ranica,IT,45.72328,9.71335,5920,288.0,944.9,open_elevation,0.85,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 1.77 km)
Cortina d'Ampezzo,AT,46.5369,12.13903,5423,1210.0,3969.8,opentopo,0.9,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 2.03 km)
Cles,IT,46.36294,11.03276,5903,668.0,2191.6,open_elevation,0.85,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 0.23 km)
Reignier-Ésery,FR,46.13333,6.26667,5892,487.0,1597.8,open_elevation,0.85,geonames,0.0,80,,no,No OSM hospital within 3.0 km of centroid
Marignier,FR,46.09014,6.50004,5883,474.0,1555.1,opentopo,0.9,geonames,0.0,80,,no,No OSM hospital within 3.0 km of centroid
Saint-Gervais-les-Bains,FR,45.89126,6.71678,5882,927.0,3041.3,open_elevation,0.85,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 2.53 km)
Kirchbichl,AT,47.51743,12.09629,5855,523.0,1715.9,opentopo,0.9,geonames,0.0,80,,no,No OSM hospital within 3.0 km of centroid
Micheldorf in Oberösterreich,AT,47.87764,14.13357,5854,458.0,1502.6,open_elevation,0.85,geonames,0.0,80,,no,No OSM hospital within 3.0 km of centroid
Breitenfurt bei Wien,AT,48.13333,16.15,5853,379.0,1243.4,open_elevation,0.85,geonames,0.0,80,,no,No OSM hospital within 3.0 km of centroid
